date,close,neg,neu,pos,compound
2021-03-10,668.0599980000001,0.07,0.93,0.0,-0.3412
2021-03-10,668.0599980000001,0.0,0.721,0.279,0.891
2021-03-10,668.0599980000001,0.062,0.639,0.3,0.8957
2021-03-10,668.0599980000001,0.288,0.712,0.0,-0.8591
2021-03-10,668.0599980000001,0.178,0.587,0.235,0.3182
2021-03-10,668.0599980000001,0.0,0.912,0.088,0.4215
2021-03-10,668.0599980000001,0.283,0.545,0.172,-0.6249
2021-03-10,668.0599980000001,0.091,0.767,0.142,0.1779
2021-03-11,699.599976,0.126,0.51,0.364,0.8633
2021-03-11,699.599976,0.065,0.935,0.0,-0.1531
2021-03-11,699.599976,0.303,0.697,0.0,-0.9042
2021-03-11,699.599976,0.532,0.468,0.0,-0.9801
2021-03-11,699.599976,0.0,0.887,0.113,0.3182
2021-03-11,699.599976,0.385,0.463,0.151,-0.8625
2021-03-11,699.599976,0.087,0.621,0.292,0.8225
2021-03-11,699.599976,0.364,0.636,0.0,-0.9531
2021-03-11,699.599976,0.193,0.807,0.0,-0.7351
2021-03-11,699.599976,0.0,0.903,0.097,0.4404
2021-03-11,699.599976,0.039,0.894,0.067,0.25
2021-03-11,699.599976,0.0,0.781,0.219,0.8271
2021-03-11,699.599976,0.11,0.89,0.0,-0.5574
2021-03-11,699.599976,0.109,0.686,0.206,0.4767
2021-03-11,699.599976,0.0,0.94,0.06,0.2263
2021-03-11,699.599976,0.089,0.696,0.214,0.6705
2021-03-11,699.599976,0.257,0.649,0.094,-0.6705
2021-03-11,699.599976,0.106,0.727,0.167,0.4588
2021-03-11,699.599976,0.353,0.522,0.125,-0.8979
2021-03-11,699.599976,0.085,0.826,0.088,0.0258
2021-03-12,693.72998,0.07,0.93,0.0,-0.3412
2021-03-12,693.72998,0.0,0.721,0.279,0.891
2021-03-12,693.72998,0.062,0.639,0.3,0.8957
2021-03-12,693.72998,0.288,0.712,0.0,-0.8591
2021-03-12,693.72998,0.178,0.587,0.235,0.3182
2021-03-12,693.72998,0.0,0.912,0.088,0.4215
2021-03-12,693.72998,0.283,0.545,0.172,-0.6249
2021-03-12,693.72998,0.091,0.767,0.142,0.1779
2021-03-15,707.9400019999999,0.126,0.51,0.364,0.8633
2021-03-15,707.9400019999999,0.065,0.935,0.0,-0.1531
2021-03-15,707.9400019999999,0.303,0.697,0.0,-0.9042
2021-03-15,707.9400019999999,0.532,0.468,0.0,-0.9801
2021-03-15,707.9400019999999,0.0,0.887,0.113,0.3182
2021-03-15,707.9400019999999,0.385,0.463,0.151,-0.8625
2021-03-15,707.9400019999999,0.087,0.621,0.292,0.8225
2021-03-15,707.9400019999999,0.364,0.636,0.0,-0.9531
2021-03-15,707.9400019999999,0.193,0.807,0.0,-0.7351
2021-03-15,707.9400019999999,0.0,0.903,0.097,0.4404
2021-03-15,707.9400019999999,0.039,0.894,0.067,0.25
2021-03-15,707.9400019999999,0.0,0.781,0.219,0.8271
2021-03-15,707.9400019999999,0.11,0.89,0.0,-0.5574
2021-03-15,707.9400019999999,0.109,0.686,0.206,0.4767
2021-03-15,707.9400019999999,0.0,0.94,0.06,0.2263
2021-03-15,707.9400019999999,0.089,0.696,0.214,0.6705
2021-03-15,707.9400019999999,0.257,0.649,0.094,-0.6705
2021-03-15,707.9400019999999,0.106,0.727,0.167,0.4588
2021-03-15,707.9400019999999,0.353,0.522,0.125,-0.8979
2021-03-15,707.9400019999999,0.085,0.826,0.088,0.0258
2021-03-16,676.880005,0.07,0.93,0.0,-0.3412
2021-03-16,676.880005,0.0,0.721,0.279,0.891
2021-03-16,676.880005,0.062,0.639,0.3,0.8957
2021-03-16,676.880005,0.288,0.712,0.0,-0.8591
2021-03-16,676.880005,0.178,0.587,0.235,0.3182
2021-03-16,676.880005,0.0,0.912,0.088,0.4215
2021-03-16,676.880005,0.283,0.545,0.172,-0.6249
2021-03-16,676.880005,0.091,0.767,0.142,0.1779
2021-03-17,701.8099980000001,0.07,0.93,0.0,-0.3412
2021-03-17,701.8099980000001,0.0,0.721,0.279,0.891
2021-03-17,701.8099980000001,0.062,0.639,0.3,0.8957
2021-03-17,701.8099980000001,0.288,0.712,0.0,-0.8591
2021-03-17,701.8099980000001,0.178,0.587,0.235,0.3182
2021-03-17,701.8099980000001,0.0,0.912,0.088,0.4215
2021-03-17,701.8099980000001,0.283,0.545,0.172,-0.6249
2021-03-17,701.8099980000001,0.091,0.767,0.142,0.1779
2021-03-18,653.159973,0.07,0.93,0.0,-0.3412
2021-03-18,653.159973,0.0,0.721,0.279,0.891
2021-03-18,653.159973,0.062,0.639,0.3,0.8957
2021-03-18,653.159973,0.288,0.712,0.0,-0.8591
2021-03-18,653.159973,0.178,0.587,0.235,0.3182
2021-03-18,653.159973,0.0,0.912,0.088,0.4215
2021-03-18,653.159973,0.283,0.545,0.172,-0.6249
2021-03-18,653.159973,0.091,0.767,0.142,0.1779
2021-03-19,654.869995,0.126,0.51,0.364,0.8633
2021-03-19,654.869995,0.065,0.935,0.0,-0.1531
2021-03-19,654.869995,0.303,0.697,0.0,-0.9042
2021-03-19,654.869995,0.532,0.468,0.0,-0.9801
2021-03-19,654.869995,0.0,0.887,0.113,0.3182
2021-03-19,654.869995,0.385,0.463,0.151,-0.8625
2021-03-19,654.869995,0.087,0.621,0.292,0.8225
2021-03-19,654.869995,0.364,0.636,0.0,-0.9531
2021-03-19,654.869995,0.193,0.807,0.0,-0.7351
2021-03-19,654.869995,0.0,0.903,0.097,0.4404
2021-03-19,654.869995,0.039,0.894,0.067,0.25
2021-03-19,654.869995,0.0,0.781,0.219,0.8271
2021-03-19,654.869995,0.11,0.89,0.0,-0.5574
2021-03-19,654.869995,0.109,0.686,0.206,0.4767
2021-03-19,654.869995,0.0,0.94,0.06,0.2263
2021-03-19,654.869995,0.089,0.696,0.214,0.6705
2021-03-19,654.869995,0.257,0.649,0.094,-0.6705
2021-03-19,654.869995,0.106,0.727,0.167,0.4588
2021-03-19,654.869995,0.353,0.522,0.125,-0.8979
2021-03-19,654.869995,0.085,0.826,0.088,0.0258
2021-03-22,670.0,0.07,0.93,0.0,-0.3412
2021-03-22,670.0,0.0,0.721,0.279,0.891
2021-03-22,670.0,0.062,0.639,0.3,0.8957
2021-03-22,670.0,0.288,0.712,0.0,-0.8591
2021-03-22,670.0,0.178,0.587,0.235,0.3182
2021-03-22,670.0,0.0,0.912,0.088,0.4215
2021-03-22,670.0,0.283,0.545,0.172,-0.6249
2021-03-22,670.0,0.091,0.767,0.142,0.1779
2021-03-23,662.159973,0.07,0.93,0.0,-0.3412
2021-03-23,662.159973,0.0,0.721,0.279,0.891
2021-03-23,662.159973,0.062,0.639,0.3,0.8957
2021-03-23,662.159973,0.288,0.712,0.0,-0.8591
2021-03-23,662.159973,0.178,0.587,0.235,0.3182
2021-03-23,662.159973,0.0,0.912,0.088,0.4215
2021-03-23,662.159973,0.283,0.545,0.172,-0.6249
2021-03-23,662.159973,0.091,0.767,0.142,0.1779
2021-03-24,630.27002,0.126,0.51,0.364,0.8633
2021-03-24,630.27002,0.065,0.935,0.0,-0.1531
2021-03-24,630.27002,0.303,0.697,0.0,-0.9042
2021-03-24,630.27002,0.532,0.468,0.0,-0.9801
2021-03-24,630.27002,0.0,0.887,0.113,0.3182
2021-03-24,630.27002,0.385,0.463,0.151,-0.8625
2021-03-24,630.27002,0.087,0.621,0.292,0.8225
2021-03-24,630.27002,0.364,0.636,0.0,-0.9531
2021-03-24,630.27002,0.193,0.807,0.0,-0.7351
2021-03-24,630.27002,0.0,0.903,0.097,0.4404
2021-03-24,630.27002,0.039,0.894,0.067,0.25
2021-03-24,630.27002,0.0,0.781,0.219,0.8271
2021-03-24,630.27002,0.11,0.89,0.0,-0.5574
2021-03-24,630.27002,0.109,0.686,0.206,0.4767
2021-03-24,630.27002,0.0,0.94,0.06,0.2263
2021-03-24,630.27002,0.089,0.696,0.214,0.6705
2021-03-24,630.27002,0.257,0.649,0.094,-0.6705
2021-03-24,630.27002,0.106,0.727,0.167,0.4588
2021-03-24,630.27002,0.353,0.522,0.125,-0.8979
2021-03-24,630.27002,0.085,0.826,0.088,0.0258
2021-03-25,640.3900150000001,0.167,0.833,0.0,-0.6124
2021-03-25,640.3900150000001,0.065,0.774,0.161,0.4588
2021-03-26,618.710022,0.126,0.51,0.364,0.8633
2021-03-26,618.710022,0.065,0.935,0.0,-0.1531
2021-03-26,618.710022,0.303,0.697,0.0,-0.9042
2021-03-26,618.710022,0.532,0.468,0.0,-0.9801
2021-03-26,618.710022,0.0,0.887,0.113,0.3182
2021-03-26,618.710022,0.385,0.463,0.151,-0.8625
2021-03-26,618.710022,0.087,0.621,0.292,0.8225
2021-03-26,618.710022,0.364,0.636,0.0,-0.9531
2021-03-26,618.710022,0.193,0.807,0.0,-0.7351
2021-03-26,618.710022,0.0,0.903,0.097,0.4404
2021-03-26,618.710022,0.039,0.894,0.067,0.25
2021-03-26,618.710022,0.0,0.781,0.219,0.8271
2021-03-26,618.710022,0.11,0.89,0.0,-0.5574
2021-03-26,618.710022,0.109,0.686,0.206,0.4767
2021-03-26,618.710022,0.0,0.94,0.06,0.2263
2021-03-26,618.710022,0.089,0.696,0.214,0.6705
2021-03-26,618.710022,0.257,0.649,0.094,-0.6705
2021-03-26,618.710022,0.106,0.727,0.167,0.4588
